ID,Fear_indivd,Happy_indivd
230712004,-1,1
230714005,1,0
230714006,-1,0
230714007,-1,0
230716008,0,0
230716009,-1,-1
230717010,-1,-1
230717011,-1,0
230717012,-1,0
230717013,1,0
230718015,0,-1
230718016,-1,-1
230719017,0,0
230719018,1,-1
230719019,1,0
230720020,0,1
230720021,-1,1
230721022,0,1
230721023,0,0
230721024,1,-1
230721025,0,0
230721026,1,1
230722027,1,-1
230723029,0,1
230723030,1,1
230723031,0,-1
230723032,-1,1
230723033,0,1
230723034,-1,0
230723035,0,0
230729046,0,1
230729048,0,1
230910076,0,0
231022077,0,-1
231028078,1,0
231029079,-1,1
231029081,-1,0
231029082,-1,0
231104083,0,1
231104084,0,-1
231105085,1,1
231107086,1,1
231111087,1,0
231111088,1,0
231119089,1,0
231119090,-1,1
231125091,-1,-1
231126092,-1,0
231202093,0,-1
231203094,0,-1
231203096,0,-1
231203097,-1,0
231209098,0,0
231209099,1,1
231209100,0,0
231210101,0,-1
231210102,0,0
231217104,0,0
231223105,0,0
231224106,0,0
231228107,-1,0
240113111,0,0
240113112,0,0
240225121,0,-1
240302123,0,-1
240302124,-1,-1
240309126,1,1
240518128,0,0
240518129,0,1
240518130,0,0
240518131,0,0
240519132,-1,-1
240519133,0,1
240601134,0,0
240601135,1,0
240601136,1,0
240601137,0,1
240608138,0,1
240609143,1,1
240609144,0,1
240609145,0,0
240609146,0,0
240609147,0,-1
240629148,1,-1
240629149,1,1
240629150,1,0
240629151,0,-1
240709152,1,-1
240709153,-1,0
240710154,-1,0
240710155,0,0
240710156,0,0
240716157,-1,0
240716158,0,-1
240720159,-1,0
240720160,0,1
240720161,1,0
240720162,-1,-1
240723163,0,0
240723164,0,0
240724165,0,0
240724166,1,0
240724167,1,-1
