Time,Fear_Intensity,Happy_Intensity
0,1.5,0.166666667
1,1.5,0.166666667
2,1.5,0.166666667
3,1.5,0.166666667
4,1.5,0.166666667
5,1,0.333333333
6,1,0.333333333
7,1,0.333333333
8,1,0.333333333
9,1,0.333333333
10,1.166666667,0.333333333
11,1.166666667,0.333333333
12,1.166666667,0.333333333
13,1.166666667,0.333333333
14,1.166666667,0.333333333
15,2.5,0.166666667
16,2.5,0.166666667
17,2.5,0.166666667
18,2.5,0.166666667
19,2.5,0.166666667
20,1.5,1.666666667
21,1.5,1.666666667
22,1.5,1.666666667
23,1.5,1.666666667
24,1.5,1.666666667
25,1.333333333,3
26,1.333333333,3
27,1.333333333,3
28,1.333333333,3
29,1.333333333,3
30,2.5,5
31,2.5,5
32,2.5,5
33,2.5,5
34,2.5,5
35,4.333333333,6.166666667
36,4.333333333,6.166666667
37,4.333333333,6.166666667
38,4.333333333,6.166666667
39,4.333333333,6.166666667
40,6,6.333333333
41,6,6.333333333
42,6,6.333333333
43,6,6.333333333
44,6,6.333333333
45,5.5,6.666666667
46,5.5,6.666666667
47,5.5,6.666666667
48,5.5,6.666666667
49,5.5,6.666666667
50,5.5,6.5
51,5.5,6.5
52,5.5,6.5
53,5.5,6.5
54,5.5,6.5
55,5.5,6.5
56,5.5,6.5
57,5.5,6.5
58,5.5,6.5
59,5.5,6.5
60,5.333333333,6.666666667
61,5.333333333,6.666666667
62,5.333333333,6.666666667
63,5.333333333,6.666666667
64,5.333333333,6.666666667
65,5.833333333,4.333333333
66,5.833333333,4.333333333
67,5.833333333,4.333333333
68,5.833333333,4.333333333
69,5.833333333,4.333333333
70,5.833333333,4
71,5.833333333,4
72,5.833333333,4
73,5.833333333,4
74,5.833333333,4
75,5.166666667,1
76,5.166666667,1
77,5.166666667,1
78,5.166666667,1
79,5.166666667,1
80,3.166666667,3.333333333
81,3.166666667,3.333333333
82,3.166666667,3.333333333
83,3.166666667,3.333333333
84,3.166666667,3.333333333
85,5,5.833333333
86,5,5.833333333
87,5,5.833333333
88,5,5.833333333
89,5,5.833333333
90,6.5,5.666666667
91,6.5,5.666666667
92,6.5,5.666666667
93,6.5,5.666666667
94,6.5,5.666666667
95,5,4.666666667
96,5,4.666666667
97,5,4.666666667
98,5,4.666666667
99,5,4.666666667
100,3.833333333,5.166666667
101,3.833333333,5.166666667
102,3.833333333,5.166666667
103,3.833333333,5.166666667
104,3.833333333,5.166666667
105,3.333333333,3.666666667
106,3.333333333,3.666666667
107,3.333333333,3.666666667
108,3.333333333,3.666666667
109,3.333333333,3.666666667
110,5.833333333,5.5
111,5.833333333,5.5
112,5.833333333,5.5
113,5.833333333,5.5
114,5.833333333,5.5
115,6.166666667,6.166666667
116,6.166666667,6.166666667
117,6.166666667,6.166666667
118,6.166666667,6.166666667
119,6.166666667,6.166666667
120,6.833333333,5.166666667
121,6.833333333,5.166666667
122,6.833333333,5.166666667
123,6.833333333,5.166666667
124,6.833333333,5.166666667
125,7.5,3.5
126,7.5,3.5
127,7.5,3.5
128,7.5,3.5
129,7.5,3.5
130,6.5,4.166666667
131,6.5,4.166666667
132,6.5,4.166666667
133,6.5,4.166666667
134,6.5,4.166666667
135,7.833333333,7
136,7.833333333,7
137,7.833333333,7
138,7.833333333,7
139,7.833333333,7
140,9,6.333333333
141,9,6.333333333
142,9,6.333333333
143,9,6.333333333
144,9,6.333333333
145,8.666666667,5.5
146,8.666666667,5.5
147,8.666666667,5.5
148,8.666666667,5.5
149,8.666666667,5.5
150,7.833333333,5
151,7.833333333,5
152,7.833333333,5
153,7.833333333,5
154,7.833333333,5
155,8.166666667,6.333333333
156,8.166666667,6.333333333
157,8.166666667,6.333333333
158,8.166666667,6.333333333
159,8.166666667,6.333333333
160,7.833333333,7
161,7.833333333,7
162,7.833333333,7
163,7.833333333,7
164,7.833333333,7
165,6.333333333,7
166,6.333333333,7
167,6.333333333,7
168,6.333333333,7
169,6.333333333,7
170,7.333333333,7.333333333
171,7.333333333,7.333333333
172,7.333333333,7.333333333
173,7.333333333,7.333333333
174,7.333333333,7.333333333
175,8.166666667,7.166666667
176,8.166666667,7.166666667
177,8.166666667,7.166666667
178,8.166666667,7.166666667
179,8.166666667,7.166666667
180,6.666666667,6.666666667
181,6.666666667,6.666666667
182,6.666666667,6.666666667
183,6.666666667,6.666666667
184,6.666666667,6.666666667
185,5.833333333,7
186,5.833333333,7
187,5.833333333,7
188,5.833333333,7
189,5.833333333,7
